,match,year,round,round_number,games_loser,games_winner,loser,sets_loser,sets_winner,surface,winner,tourney_name,tourney_order
2577,5,1883,first round,1,5.0,12.0,Johnson,0,2,grass,F Keene,usopen,4
2979,6,1883,first round,1,8.0,12.0,JH Powell,0,2,grass,MG Post,usopen,4
3772,8,1883,first round,1,15.0,15.0,FJ Hynes,1,2,grass,F Eldridge,usopen,4
4171,9,1883,first round,1,9.0,12.0,WP Metcalfe,0,2,grass,MS Paton,usopen,4
4460,10,1883,first round,1,2.0,12.0,M Thomas,0,2,grass,J Dwight,usopen,4
4748,11,1883,first round,1,6.0,12.0,SH Hooper,0,2,grass,GM Brinley,usopen,4
5327,13,1883,first round,1,8.0,17.0,JS Tooker,1,2,grass,RF Conover,usopen,4
5617,14,1883,first round,1,10.0,16.0,L Bosnal,1,2,grass,WB Dixon,usopen,4
13,1,1883,second round,2,5.0,12.0,C Farnum,0,2,grass,R Sears,usopen,4
831,2,1883,second round,2,6.0,12.0,WH Bucknall,0,2,grass,HW Powell,usopen,4
1508,3,1883,second round,2,6.0,12.0,MG Post,0,2,grass,F Keene,usopen,4
2044,4,1883,second round,2,6.0,12.0,F Eldridge,0,2,grass,GM Smith,usopen,4
2578,5,1883,second round,2,3.0,12.0,MS Paton,0,2,grass,J Dwight,usopen,4
2980,6,1883,second round,2,13.0,17.0,AE Newbold,1,2,grass,GM Brinley,usopen,4
3379,7,1883,second round,2,4.0,12.0,WB Dixon,0,2,grass,RF Conover,usopen,4
12,1,1883,quarterfinals,5,2.0,12.0,HW Powell,0,2,grass,R Sears,usopen,4
830,2,1883,quarterfinals,5,7.0,12.0,GM Smith,0,2,grass,F Keene,usopen,4
1507,3,1883,quarterfinals,5,5.0,12.0,GM Brinley,0,2,grass,J Dwight,usopen,4
14,1,1883,semifinals,6,0.0,12.0,Foxhall Keene,0,2,grass,Richard Sears,usopen,4
832,2,1883,semifinals,6,7.0,12.0,Richard F Conover,0,2,grass,James Dwight,usopen,4
10,1,1883,final,7,9.0,21.0,James Dwight,0,3,grass,Richard Sears,usopen,4
16,1,1884,first round,1,5.0,12.0,MG Post,0,2,grass,RL Beeckman,usopen,4
4461,10,1884,first round,1,6.0,12.0,WB Merriman,0,2,grass,GM Brinley,usopen,4
6462,17,1884,first round,1,1.0,12.0,F Warren,0,2,grass,W Thorne,usopen,4
18,1,1884,second round,2,9.0,12.0,SH Hooper,0,2,grass,RL Beeckman,usopen,4
834,2,1884,second round,2,6.0,12.0,A Rives,0,2,grass,P Willis,usopen,4
1509,3,1884,second round,2,6.0,12.0,FH Gillette,0,2,grass,P Knapp,usopen,4
2579,5,1884,second round,2,2.0,12.0,GM Brinley,0,2,grass,H Taylor,usopen,4
2981,6,1884,second round,2,2.0,12.0,WF Metcalfe,0,2,grass,J Clark,usopen,4
3380,7,1884,second round,2,6.0,12.0,WH Barnes,0,2,grass,A Van Rensselaer,usopen,4
3773,8,1884,second round,2,4.0,12.0,F Keene,0,2,grass,RF Conover,usopen,4
4172,9,1884,second round,2,15.0,12.0,MS Paton,1,2,grass,W Thorne,usopen,4
4462,10,1884,second round,2,11.0,16.0,FJ Hynes,1,2,grass,H Slocum,usopen,4
5039,12,1884,second round,2,3.0,12.0,W Berry,0,2,grass,EK Butler,usopen,4
5328,13,1884,second round,2,7.0,12.0,A Curtis,0,2,grass,C Clark,usopen,4
5618,14,1884,second round,2,6.0,12.0,N Perry E Hallowell,0,2,grass,PR Lyman,usopen,4
5903,15,1884,second round,2,6.0,12.0,EE Denniston,0,2,grass,AC Salt,usopen,4
6183,16,1884,second round,2,5.0,12.0,W Gammell,0,2,grass,M Fielding,usopen,4
